4891	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4890	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4875	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4874	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4870	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.4 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4849	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4843	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4785	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4757	16794.08	122	2.21	137.66	2597.84	14.47%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4916	16718.93	122	2.21	137.04	2589.88	14.41%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4895	16718.93	122	2.21	137.04	2589.88	14.41%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4882	16718.93	122	2.21	137.04	2589.88	14.41%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4846	16718.93	122	2.21	137.04	2589.88	14.41%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4839	16718.93	122	2.21	137.04	2589.88	14.41%	0.00000000	useExit=0 	ATR_period=220 	SL_ratio=1 	TP_ratio=10.2 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4858	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.6 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4840	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4838	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.7 	profit_zone_reward=0.6 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4833	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.6 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4822	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4821	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.6 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4810	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.9 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4808	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4807	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.7 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4791	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4788	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4787	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.4 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4782	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4781	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.9 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4779	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4777	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.6 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4776	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4768	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4766	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.9 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4765	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4758	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.7 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4752	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.7 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4744	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.7 	profit_zone_reward=0.4 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4743	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.2 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4740	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.4 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4722	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4716	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.6 	profit_zone_reward=0.4 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4715	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.4 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4691	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.8 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4683	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.7 	profit_zone_reward=0.1 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4676	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.5 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4664	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.9 	profit_zone_reward=0.7 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4653	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.4 	profit_zone_reward=0.4 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4647	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.3 	profit_zone_reward=0.8 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
4639	16507.55	116	2.26	142.31	2669.06	14.44%	0.00000000	useExit=0 	ATR_period=200 	SL_ratio=1 	TP_ratio=10.4 	breakeven=0.3 	profit_zone=0.5 	profit_zone_reward=0.3 	aroonSimple=20 	EMA_period=25 	EMA_price=3	export_data=1 	risk_per_trade=1 	slippage=3 	fixed_sltp=0
